bbox,344,110,84,101,No6sJ9e9GKQ_bbox_Q0.jpg,644,757
bbox1,146,14,128,118,No6sJ9e9GKQ_bbox_Q1.jpg,1182,880
bbox2,890,4,136,128,No6sJ9e9GKQ_bbox_Q1.jpg,1182,880
bbox,522,218,142,196,No6sJ9e9GKQ_bbox_Q10.jpg,1182,880
bbox,676,218,54,164,No6sJ9e9GKQ_bbox_Q15.jpg,1182,880
bbox,683,360,80,93,No6sJ9e9GKQ_bbox_Q17.jpg,1076,632
bbox,382,148,418,40,No6sJ9e9GKQ_bbox_Q2.jpg,1182,880
bbox,806,228,140,326,No6sJ9e9GKQ_bbox_Q6.jpg,1182,880
bbox,171,70,258,299,No6sJ9e9GKQ_bbox_Q8.jpg,1089,490
bbox,388,325,196,178,No6sJ9e9GKQ_bbox_Q9.jpg,1171,586
