bbox,42,20,486,426,To8xgA7IZAA_bbox_Q0.jpg,588,481
bbox,132,51,180,334,To8xgA7IZAA_bbox_Q6.jpg,430,420
bbox,30,24,190,199,To8xgA7IZAA_bbox_Q7.jpg,280,258
bbox,25,26,203,198,To8xgA7IZAA_bbox_Q8.jpg,280,258
bbox,55,9,112,247,To8xgA7IZAA_bbox_Q9.jpg,271,266
bbox,30,47,465,392,To8xgA7IZAA_bbox_Q1.jpg,588,481
bbox,76,17,246,213,To8xgA7IZAA_bbox_Q2.jpg,392,274
bbox,77,17,246,216,To8xgA7IZAA_bbox_Q3.jpg,392,274
bbox,65,40,295,259,To8xgA7IZAA_bbox_Q4.jpg,419,331
bbox,64,38,293,264,To8xgA7IZAA_bbox_Q5.jpg,419,331
